Tempo (s),Posição (m),Velocidade (m/s),Acceleração (m/s²)
0.05,1.749,0.16,-1.995
0.1,1.762,0.047,-1.598
0.15,1.755,-0.035,-1.079
0.2,1.752,-0.027,-1.119
0.25,1.756,-0.086,-2.05
0.3,1.753,-0.287,-1.829
0.35,1.723,-0.393,0.737
0.4,1.7,-0.236,3.844
0.45,1.694,0.06,5.498
0.5,1.703,0.411,4.83
0.55,1.738,0.673,1.355
0.6,1.788,0.589,-3.196
0.65,1.805,0.301,-7.013
0.7,1.822,-0.129,-10.528
0.75,1.797,-0.722,-14.27
0.8,1.761,-1.561,-17.278
0.85,1.654,-2.624,-16.355
0.9,1.488,-3.438,-10.382
0.95,1.287,-3.751,-2.334
1,1.092,-3.585,4.18
1.05,0.92,-3.194,7.731
1.1,0.771,-2.728,9.173
1.15,0.647,-2.245,9.64
1.2,0.546,-1.757,9.805
1.25,0.471,-1.26,9.835
1.3,0.42,-0.77,9.789
1.35,0.394,-0.283,9.756
1.4,0.392,0.204,9.768
1.45,0.415,0.692,9.825
1.5,0.461,1.183,9.92
1.55,0.532,1.689,9.926
1.6,0.631,2.183,9.81
1.65,0.751,2.665,9.758
1.7,0.897,3.156,9.604
1.75,1.067,3.65,8.45
1.8,1.261,4.109,4.196
1.85,1.481,4.335,-5.529
1.9,1.728,3.803,-18.975
